library_no,pose_id,bvh_filename,source_clip_id,provider,collection_id,native_subject_id,native_asset_id,native_clip_id,original_title,original_filename,selected_frame_index,selected_frame_index_hint,frame_index_base,source_fps,sample_ordinal,retarget_profile,operations,source_uri,source_sha256,catalog_snapshot_ref,catalog_match_status,file_lineage_status,reviewer,notes
BVH-000062,Fist Fight B_00075_mirror,Fist Fight B_00075_mirror.bvh,local_action_raw:Fist Fight B,unknown,local_action_raw,,,,Fist Fight B,Fist Fight B.bvh,,75,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Fist Fight B.bvh,sha256:7ed9900ac6e6cda4e9db57c40cc1aa09e4e621476f5bf63c7f340133b1f74a4b,,missing,derived_mirror,,
BVH-000063,Fist Fight B_00089,Fist Fight B_00089.bvh,local_action_raw:Fist Fight B,unknown,local_action_raw,,,,Fist Fight B,Fist Fight B.bvh,89,89,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Fist Fight B.bvh,sha256:7ed9900ac6e6cda4e9db57c40cc1aa09e4e621476f5bf63c7f340133b1f74a4b,,missing,verified,,
BVH-000064,Fist Fight B_00089_mirror,Fist Fight B_00089_mirror.bvh,local_action_raw:Fist Fight B,unknown,local_action_raw,,,,Fist Fight B,Fist Fight B.bvh,,89,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Fist Fight B.bvh,sha256:7ed9900ac6e6cda4e9db57c40cc1aa09e4e621476f5bf63c7f340133b1f74a4b,,missing,derived_mirror,,
BVH-000065,Fist Fight B_00118,Fist Fight B_00118.bvh,local_action_raw:Fist Fight B,unknown,local_action_raw,,,,Fist Fight B,Fist Fight B.bvh,118,118,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Fist Fight B.bvh,sha256:7ed9900ac6e6cda4e9db57c40cc1aa09e4e621476f5bf63c7f340133b1f74a4b,,missing,verified,,
BVH-000066,Fist Fight B_00118_mirror,Fist Fight B_00118_mirror.bvh,local_action_raw:Fist Fight B,unknown,local_action_raw,,,,Fist Fight B,Fist Fight B.bvh,,118,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Fist Fight B.bvh,sha256:7ed9900ac6e6cda4e9db57c40cc1aa09e4e621476f5bf63c7f340133b1f74a4b,,missing,derived_mirror,,
BVH-000067,Floating_00002,Floating_00002.bvh,local_action_raw:Floating,unknown,local_action_raw,,,,Floating,Floating.bvh,2,2,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Floating.bvh,sha256:36f271d24d49fadfc5992853d40120ef4efa56c7ef8aaa642e30752c4b4c436b,,missing,verified,,
BVH-000068,Floating_00002_mirror,Floating_00002_mirror.bvh,local_action_raw:Floating,unknown,local_action_raw,,,,Floating,Floating.bvh,,2,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Floating.bvh,sha256:36f271d24d49fadfc5992853d40120ef4efa56c7ef8aaa642e30752c4b4c436b,,missing,derived_mirror,,
BVH-000069,Floating_00016,Floating_00016.bvh,local_action_raw:Floating,unknown,local_action_raw,,,,Floating,Floating.bvh,16,16,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Floating.bvh,sha256:36f271d24d49fadfc5992853d40120ef4efa56c7ef8aaa642e30752c4b4c436b,,missing,verified,,
BVH-000070,Floating_00016_mirror,Floating_00016_mirror.bvh,local_action_raw:Floating,unknown,local_action_raw,,,,Floating,Floating.bvh,,16,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Floating.bvh,sha256:36f271d24d49fadfc5992853d40120ef4efa56c7ef8aaa642e30752c4b4c436b,,missing,derived_mirror,,
BVH-000071,Floating_00083,Floating_00083.bvh,local_action_raw:Floating,unknown,local_action_raw,,,,Floating,Floating.bvh,83,83,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Floating.bvh,sha256:36f271d24d49fadfc5992853d40120ef4efa56c7ef8aaa642e30752c4b4c436b,,missing,verified,,
